Dates	,,COUNT-None-US,US	MEAN,MEAN,NEG-None-US,US	MEAN,MEAN,SUM-None-US,US	SUM,MEAN,SUM-None-US,US	MEAN,SUM,NEG-None-US,US	SUM,MEAN,NEG-None-US,US	SUM,SUM,NEG-None-US,US	MEAN,SUM,SUM-None-US,US	SUM,SUM,SUM-None-US,US
2001-02-19 00:00:00+00:00	6	0.166666666667	-0.0833333333333	-0.333333333333	1.0	0.666666666667	4.0	-0.5	-2.0
2001-02-20 00:00:00+00:00	7	0.25	0.214285714286	-0.571428571429	1.75	1.42857142857	10.0	1.5	-4.0
2001-02-21 00:00:00+00:00	6	0.416666666667	0.0694444444444	0.833333333333	2.5	0.416666666667	2.5	0.416666666667	5.0
2001-02-22 00:00:00+00:00	3	0.400793650794	-0.107142857143	-1.16666666667	1.20238095238	2.66666666667	8.0	-0.321428571429	-3.5
2001-02-23 00:00:00+00:00	4	0.357204861111	-0.185763888889	-2.75	1.42881944444	6.875	27.5	-0.743055555556	-11.0
2001-02-24 00:00:00+00:00	6	0.178125	0.159375	0.416666666667	1.06875	1.75	10.5	0.95625	2.5
2001-02-25 00:00:00+00:00	2	1.0	-1.0	-1.0	2.0	1.0	2.0	-2.0	-2.0
2001-02-26 00:00:00+00:00	4	0.2	0.6625	2.0	0.8	1.75	7.0	2.65	8.0
2001-02-28 00:00:00+00:00	3	0.33660130719	-0.244800950683	-25.3333333333	1.00980392157	42.5	127.5	-0.73440285205	-76.0
2001-03-01 00:00:00+00:00	1	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0
2001-03-02 00:00:00+00:00	4	1.27083333333	-1.4375	-3.875	5.08333333333	4.125	16.5	-5.75	-15.5
2001-03-03 00:00:00+00:00	5	0.366393762183	-0.112514619883	-1.6	1.83196881092	6.0	30.0	-0.562573099415	-8.0
2001-03-07 00:00:00+00:00	1	2.5	-2.25	-9.0	2.5	10.0	10.0	-2.25	-9.0
2001-03-08 00:00:00+00:00	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2001-03-09 00:00:00+00:00	2	0.1	0.84375	14.75	0.2	4.0	8.0	1.6875	29.5
2001-03-10 00:00:00+00:00	2	0.722222222222	1.125	-5.25	1.44444444444	13.0	26.0	2.25	-10.5
2001-03-12 00:00:00+00:00	2	0.596153846154	-0.365384615385	1.25	1.19230769231	1.75	3.5	-0.730769230769	2.5
2001-03-13 00:00:00+00:00	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2001-03-14 00:00:00+00:00	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
